"","Q1.2","Q1.4","Q1.5","Q1.12","Q1.14.1","Q1.14.2","Q1.14.3","Q1.14.4","Q1.14.5","Q1.14.6","Q3.3","Q3.5.2","Q3.6.1","Q3.6.2","Q3.7","Q3.8.1c1","Q3.8.1c2","Q3.12","Q3.14","Q3.21.1","Q3.21.2","Q3.21.3","Q5.1","Q5.2","Q5.3.1","Q5.4","Q6.1.1","Q6.1.2","Q6.1.3","Q6.1.4","Q6.1.5","Q6.2.1","Q6.2.2","Q6.2.5","Q6.3","Q6.7","Q7.5","Q7.6"
"245",1,24,7,2,5,4,3,4,5,4,2,1,40,3,546,370,96,1,8,3,3,3,23.9999666666668,1,86,1,5,4,3,2,2,5,5,5,5,1,5,7
"246",1,4,6,1,5,5,3,5,5,5,1,1,45,4,1000,911,0,1,0,3,3,3,28.1666333333333,1,148,4,5,4,5,6,6,5,4,5,5,3,5,7
"247",2,24,4,2,4,4,4,5,5,5,2,3,35,22,3000,2720,0,3,0,5,2,2,35.5833,2,86,1,2,2,2,1,2,4,2,5,2,6,6,7
"248",1,18,3,2,1,4,2,3,1,4,1,1,20,1.6,0,820,0,2,0,5,3,3,22.9999666666668,1,190,4,2,2,1,1,2,4,4,2,4,7,5,7
"249",1,24,5,2,4,4,5,5,4,2,1,5,70,8.7,100,20,500,4,0,3,3,3,22.8333,1,86,1,4,3,3,3,5,4,2,4,4,7,5,7
"250",2,19,8,1,4,4,5,5,4,5,2,1,20,1,1280,880,1000,2,0,5,5,5,31.2499666666668,1,107,3,5,4,4,3,5,3,2,5,5,1,4,4
"251",1,25,3,2,4,4,4,4,4,4,1,5,20,4,480,500,300,4,14,5,2,2,22.9999666666668,1,86,1,2,2,1,1,1,5,1,4,5,6,6,6
"252",1,23,7,2,5,5,3,5,5,5,1,1,25,3,200,870,0,2,0,3,3,3,28.1666333333333,2,86,1,5,4,4,4,5,4,3,5,3,3,1,3
"253",1,4,13,2,4,3,3,3,4,3,2,5,90,31,400,400,0,3,8,2,4,4,25.3333,1,86,1,4,5,5,5,5,2,2,4,4,3,6,5
"254",2,9,4,1,4,4,4,4,4,4,1,3,10,10,800,1280,0,3,30,4,2,2,38.3333,1,86,1,5,5,5,5,5,5,2,4,4,2,5,7
